Constituents,load-generation balance,control the battery and enhance the operation of the system,decrease the power consumption from power utility by using available energy from the solar panels,supply power power to the electric load,supply power to homes even in the event of an electric grid outage,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings,minimize the average vehicle waiting time in the network,minimize the local waiting time for vehicles,"north-to-south, red-to-green transition times",balance between energy production and consumption,grid stability,Optimize the overall charging behavior,avoid many simultaneous charging cycles,minimum peak loads emerging,cost limits are not exceeded,optimise energy usage in a range of weather conditions,promote to use a VPP from a new electricity production cost policy,cluster together into local energy collectives,use storage and demand-response techniques,balance energy consumption and production,deploy batteries in different ways depending on the behaviour of their members,market mechanisms,battery storage models,peak optimization,demand side management,energy consumption/production patterns,distributed negotiations between groups,Different responses according to different demand/response schemes (price-based),decision about the best control design of the Smart Grid,optimizations of the decisions of the Smart Grid given the best control design,to proactively plan the DC operation as a system to be able to exploit its latent flexible energy to achieve a deeper and more efficient integration with the local Smart Grid.,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context.",system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events,agents perform different functions based on their unique advantages relative to other agents postdisruption,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption",Negotiation and collaboration for resource allocation and demand efficiency,Resolution of potencial conflicts
"['Diesel Generator Agent', 'Transfer Switch', 'Storage Agent', 'Battery storages', 'IT Servers', 'Thermal Storage Device (TES)', 'Cooling System', 'Power Distribution Unit (PDU)', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"['Commercial Greenhouse Growers (CGGs)', 'Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"['Market Agent', 'Storage Agent', 'Optimizer Agent', 'Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Service providers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Building Management System (BMS)', 'Diesel Generator Agent', 'Smart Grid CS', 'Sensors', 'Central controller', 'Photovoltaic System', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Smart Grid CS', 'Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Photovoltaic System', 'electric vehicles']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Battery storages', 'Electric Load', 'Photovoltaic System', 'Wind Energy system', 'charging station for electric vehicles', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Transformer', 'Transmission line']",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['electric vehicles', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'one heating system', 'smart home applications utilizing IoT technologies']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'one heating system', 'smart home applications utilizing IoT technologies', 'Central controller']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Heating/Ventilation and Air-Conditioning system (HVAC)', 'Building Management System (BMS)', 'Lighting CS', 'Smart Grid CS', 'Audiovisual Management CS', 'Online Scheduling CS', 'Fire Detection CS', 'Security Surveillance CS', 'Emergency Management CS']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['one heating system', 'one home automation system', 'one vehicle parking system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['distributed traffic lights network'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Transportation system (prosumer)', 'Oil & gas supply sytem (prosumer)', 'Water supply system (prosumer)', 'Smart Grid CS', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'provider of raw material']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
"['Electric Load', 'Photovoltaic System', 'Wind Energy system']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
